purchaseorderid;purchaseorderdetailid;duedate;orderqty;productid;unitprice;receivedqty;rejectedqty;modifieddate
1.0;1.0;2011-04-30 00:00:00.000;4.0;1.0;50.26;3.0;0.0;2011-04-23 00:00:00.000
2.0;2.0;2011-04-30 00:00:00.000;3.0;359.0;45.12;3.0;0.0;2011-04-23 00:00:00.000
2.0;3.0;2011-04-30 00:00:00.000;3.0;360.0;45.5805;3.0;0.0;2011-04-23 00:00:00.000
3.0;4.0;2011-04-30 00:00:00.000;550.0;530.0;16.086;550.0;0.0;2011-04-23 00:00:00.000
4.0;5.0;2011-04-30 00:00:00.000;3.0;4.0;57.0255;2.0;1.0;2011-04-23 00:00:00.000
5.0;6.0;2011-05-14 00:00:00.000;550.0;512.0;37.086;550.0;0.0;2011-05-07 00:00:00.000
6.0;7.0;2011-05-14 00:00:00.000;550.0;513.0;26.5965;468.0;0.0;2011-05-07 00:00:00.000
7.0;8.0;2011-05-14 00:00:00.000;550.0;317.0;27.0585;550.0;0.0;2011-05-07 00:00:00.000
7.0;9.0;2011-05-14 00:00:00.000;550.0;318.0;33.579;550.0;0.0;2011-05-07 00:00:00.000
7.0;10.0;2011-05-14 00:00:00.000;550.0;319.0;46.0635;550.0;0.0;2011-05-07 00:00:00.000
8.0;11.0;2011-05-14 00:00:00.000;3.0;403.0;47.4705;3.0;0.0;2011-05-07 00:00:00.000
8.0;12.0;2011-05-14 00:00:00.000;3.0;404.0;45.3705;3.0;0.0;2011-05-07 00:00:00.000
8.0;13.0;2011-05-14 00:00:00.000;3.0;405.0;49.644;3.0;0.0;2011-05-07 00:00:00.000
8.0;14.0;2011-05-14 00:00:00.000;3.0;406.0;45.3705;3.0;0.0;2011-05-07 00:00:00.000
8.0;15.0;2011-05-14 00:00:00.000;3.0;407.0;43.2705;3.0;0.0;2011-05-07 00:00:00.000
9.0;16.0;2011-12-28 00:00:00.000;3.0;422.0;47.523;3.0;0.0;2011-12-21 00:00:00.000
9.0;17.0;2011-12-28 00:00:00.000;3.0;423.0;45.423;3.0;0.0;2011-12-21 00:00:00.000
9.0;18.0;2011-12-28 00:00:00.000;3.0;424.0;49.6965;3.0;0.0;2011-12-21 00:00:00.000
9.0;19.0;2011-12-28 00:00:00.000;3.0;425.0;45.423;3.0;0.0;2011-12-21 00:00:00.000
9.0;20.0;2011-12-28 00:00:00.000;3.0;426.0;43.323;3.0;0.0;2011-12-21 00:00:00.000
10.0;21.0;2011-12-28 00:00:00.000;3.0;320.0;47.4705;3.0;0.0;2011-12-21 00:00:00.000
10.0;22.0;2011-12-28 00:00:00.000;3.0;321.0;42.798;3.0;0.0;2011-12-21 00:00:00.000
10.0;23.0;2011-12-28 00:00:00.000;60.0;322.0;25.4205;60.0;0.0;2011-12-21 00:00:00.000
11.0;24.0;2011-12-28 00:00:00.000;3.0;438.0;41.223;3.0;0.0;2011-12-21 00:00:00.000
11.0;25.0;2011-12-28 00:00:00.000;3.0;439.0;45.4965;3.0;0.0;2011-12-21 00:00:00.000
11.0;26.0;2011-12-28 00:00:00.000;3.0;440.0;41.223;3.0;0.0;2011-12-21 00:00:00.000
11.0;27.0;2011-12-28 00:00:00.000;3.0;441.0;39.123;3.0;0.0;2011-12-21 00:00:00.000
12.0;28.0;2011-12-28 00:00:00.000;550.0;941.0;62.9895;550.0;82.0;2011-12-21 00:00:00.000
13.0;29.0;2011-12-28 00:00:00.000;3.0;320.0;45.3705;3.0;0.0;2011-12-21 00:00:00.000
13.0;30.0;2011-12-28 00:00:00.000;3.0;321.0;40.488;3.0;0.0;2011-12-21 00:00:00.000
13.0;31.0;2011-12-28 00:00:00.000;60.0;322.0;26.3655;60.0;0.0;2011-12-21 00:00:00.000
